"CONTROL_NUMBER","DONATED","DONATION_AMT","DONOR_AGE","URBANICITY","DONOR_GENDER","HOME_OWNER","INCOME_LEVEL","SES","MEDIAN_HOME_VALUE","MEDIAN_HOUSEHOLD_INCOME","DONATION_RESPONSE","MONTHS_SINCE_LAST_GIFT","EMAILS_12","LIFETIME_GIFT_COUNT","LIFETIME_EMAILS","LIFETIME_GIFT_AMOUNT","LIFETIME_MAX_GIFT_AMT","LIFETIME_MIN_GIFT_AMT","LIFETIME_AVG_GIFT_AMT"
286,FALSE,NA,43,"R","M","H",3,"49",542000,301000,1,26,17,7,18,10900,2500,1000,1557
316,FALSE,NA,77,"T","M","H",1,"41",312000,117000,0,4,41,23,32,38000,2000,500,1652
317,FALSE,NA,NA,"C","M","U",4,"25",1125000,255000,0,19,18,5,12,8700,2300,1500,1740
325,FALSE,NA,37,"U","F","H",6,"10",5435000,1375000,0,15,34,10,26,20900,3500,1000,2090
341,TRUE,2500,67,"R","F","U",NA,"49",517000,327000,0,7,35,27,37,29700,2500,500,1100
349,FALSE,NA,65,"U","F","H",6,"1",1489000,402000,2,15,14,5,9,5900,1500,1000,1180
363,FALSE,NA,77,"U","F","H",5,"9",4872000,221000,7,25,18,7,14,10100,1700,1200,1443
364,TRUE,1000,59,"U","F","H",5,"1",3100000,133000,0,18,30,21,26,28400,2500,500,1352
368,TRUE,1000,75,"U","M","H",6,"2",2257000,485000,1,19,34,38,42,24700,1000,500,650
372,FALSE,NA,42,"S","M","H",6,"12",787000,375000,2,17,17,7,21,8900,1900,500,1271
379,FALSE,NA,NA,"?","F","U",NA,".",343000,162000,0,18,23,10,22,8500,1500,500,850
383,FALSE,NA,NA,"S","M","U",NA,"14",2439000,521000,0,15,31,9,28,16300,3300,500,1811
387,TRUE,500,NA,"T","F","U",2,"40",789000,413000,0,18,17,12,15,7000,1000,300,583
397,TRUE,1600,79,"U","F","H",7,"2",1857000,594000,0,20,19,7,18,11100,2000,1000,1586
403,TRUE,3500,58,"?","U","U",2,".",765000,408000,0,7,29,10,21,33500,5000,2000,3350
412,FALSE,NA,NA,"T","F","U",1,"41",453000,199000,0,4,23,32,24,35600,1500,500,1113
427,TRUE,1000,NA,"C","M","U",NA,"28",709000,256000,0,18,21,11,25,10500,1500,500,955
438,FALSE,NA,45,"T","F","H",6,"40",1400000,318000,12,6,38,12,30,15900,2500,500,1325
441,TRUE,1000,56,"U","F","U",1,"10",550000,91000,2,8,36,28,34,15400,1000,300,550
458,FALSE,NA,80,"T","F","U",NA,"37",1688000,325000,0,25,21,15,25,14500,1500,500,967
478,FALSE,NA,82,"T","F","H",5,"36",550000,218000,0,6,31,42,45,32100,1300,200,764
511,TRUE,1200,82,"S","F","U",4,"15",1024000,225000,2,6,31,10,22,10000,1500,500,1000
527,FALSE,NA,64,"T","F","H",2,"39",684000,282000,2,13,34,23,32,13300,1600,300,578
532,FALSE,NA,NA,"R","U","U",NA,"42",1039000,525000,0,24,16,7,16,11000,2000,1000,1571
539,FALSE,NA,75,"S","M","H",5,"14",2003000,909000,15,26,27,6,23,17300,3300,2500,2883
542,TRUE,1000,NA,"T","M","U",NA,"38",535000,192000,0,24,14,7,16,4400,1500,300,629
544,FALSE,NA,58,"?","F","U",2,".",266000,222000,0,18,37,16,38,14200,1500,500,888
545,FALSE,NA,48,"S","F","N",2,"18",1221000,436000,0,17,30,14,39,15200,1600,500,1086
551,TRUE,2000,85,"T","F","H",2,"36",340000,180000,0,9,22,24,39,36800,2500,500,1533
557,TRUE,1500,NA,"R","F","H",2,"48",789000,2e+05,0,4,35,37,25,32800,1500,300,886
564,FALSE,NA,59,"C","F","H",7,"24",2573000,582000,18,16,35,10,25,21000,5000,500,2100
576,FALSE,NA,47,"T","F","H",7,"35",3770000,564000,2,25,22,7,21,14100,2500,1300,2014
578,TRUE,1000,NA,"S","F","U",NA,"18",1821000,454000,0,4,38,13,23,9600,1500,300,738
583,FALSE,NA,76,"?","M","U",NA,".",303000,161000,0,21,26,33,37,14400,1000,200,436
591,TRUE,2500,80,"T","M","H",5,"37",711000,223000,2,16,39,12,43,31500,3500,1500,2625
598,FALSE,NA,42,"U","M","H",5,"8",480000,343000,3,24,24,7,23,16500,2500,2000,2357
603,FALSE,NA,70,"C","F","U",NA,"23",1459000,377000,0,6,33,16,31,22400,2500,500,1400
616,FALSE,NA,NA,"U","F","H",4,"7",2475000,281000,10,8,34,9,23,10700,2000,500,1189
621,FALSE,NA,NA,"U","U","U",NA,"3",2440000,362000,0,4,23,7,16,21000,4000,2500,3000
626,FALSE,NA,56,"T","M","H",4,"36",689000,296000,1,18,22,8,17,6000,1000,500,750
634,FALSE,NA,NA,"U","F","N",1,"8",1608000,337000,0,18,21,47,41,23500,500,500,500
637,TRUE,2500,81,"S","F","H",4,"13",2865000,534000,0,6,34,27,34,41900,3000,500,1552
640,FALSE,NA,70,"C","F","U",NA,"31",1781000,105000,0,26,14,48,41,18000,1100,100,375
646,FALSE,NA,63,"T","M","H",5,"35",1361000,665000,6,7,35,30,42,23700,1100,500,790
653,FALSE,NA,40,"S","F","H",7,"14",914000,507000,0,19,32,13,34,23900,4000,500,1838
661,TRUE,2000,32,"U","M","H",6,"5",1801000,495000,4,10,37,17,32,33100,2500,1500,1947
665,FALSE,NA,53,"T","F","N",3,"40",742000,369000,4,16,38,12,29,16400,2000,1000,1367
672,FALSE,NA,NA,"C","F","N",2,"27",1720000,299000,0,26,19,12,28,14800,1600,500,1233
675,TRUE,1500,82,"T","F","H",5,"34",1714000,342000,2,21,24,23,32,20508,1500,8,892
683,TRUE,500,79,"S","F","U",NA,"14",2257000,695000,0,20,37,52,51,24700,1000,300,475
687,FALSE,NA,73,"S","M","H",7,"12",1407000,578000,2,17,32,18,30,10400,800,200,578
689,FALSE,NA,45,"R","F","H",7,"50",317000,182000,0,5,35,47,35,19700,1000,200,419
696,FALSE,NA,86,"?","F","U",NA,".",793000,344000,0,5,40,50,47,32300,1000,300,646
701,FALSE,NA,NA,"R","F","U",NA,"45",407000,214000,0,6,37,27,46,64500,5000,1000,2389
702,FALSE,NA,75,"T","U","H",7,"35",1125000,550000,6,13,36,22,38,17500,1100,400,795
706,FALSE,NA,54,"T","F","H",5,"36",508000,269000,13,24,20,11,17,9700,1500,500,882
714,FALSE,NA,33,"S","F","H",6,"19",2051000,417000,0,21,36,30,39,45300,4000,500,1510
718,TRUE,3500,75,"C","F","N",3,"27",1215000,296000,3,18,31,16,31,36100,5000,1000,2256
727,TRUE,200,73,"R","F","H",3,"51",240000,232000,1,7,28,23,28,5200,500,100,226
740,FALSE,NA,NA,"R","U","U",NA,"42",1212000,298000,0,4,33,16,32,10500,2000,300,656
743,FALSE,NA,60,"R","M","H",5,"46",768000,304000,15,11,38,37,39,36000,1500,500,973
751,TRUE,1100,67,"U","F","U",NA,"2",2250000,539000,0,23,30,25,45,19200,1200,300,768
775,FALSE,NA,67,"S","F","H",5,"15",844000,352000,1,11,40,15,29,16300,1800,500,1087
785,TRUE,1800,52,"C","M","U",2,"22",613000,146000,0,5,26,6,19,10500,2500,1000,1750
788,FALSE,NA,49,"T","F","H",6,"40",864000,404000,14,21,25,5,20,14000,4000,2500,2800
790,TRUE,1500,71,"R","M","U",5,"46",580000,286000,0,18,21,11,24,9200,1500,300,836
793,TRUE,1500,87,"S","F","H",5,"17",1568000,328000,23,15,20,21,37,21400,2000,200,1019
804,FALSE,NA,7,"S","F","H",5,"11",1227000,471000,8,21,19,25,38,11400,700,300,456
826,FALSE,NA,17,"T","F","U",NA,"41",348000,178000,0,4,28,19,22,22000,1600,500,1158
836,FALSE,NA,86,"S","M","H",6,"13",1638000,703000,10,26,10,6,18,14800,3100,1500,2467
867,FALSE,NA,52,"C","M","H",5,"26",923000,253000,2,17,19,7,23,9300,1800,1000,1329
894,TRUE,4000,57,"C","M","H",5,"27",860000,392000,12,4,46,34,36,58000,2500,500,1706
898,FALSE,NA,78,"R","F","N",2,"49",388000,290000,0,19,21,18,28,12200,1100,300,678
903,FALSE,NA,NA,"C","F","U",1,"25",528000,196000,4,16,20,10,13,4200,1000,100,420
905,FALSE,NA,65,"T","M","H",4,"35",1629000,483000,11,18,18,5,18,5100,1500,500,1020
908,FALSE,NA,57,"T","F","H",7,"38",665000,279000,38,21,26,12,27,15500,2100,400,1292
917,FALSE,NA,47,"S","M","H",4,"11",715000,395000,5,20,24,20,35,19400,2000,500,970
919,FALSE,NA,57,"S","M","H",1,"13",925000,354000,2,18,19,12,21,7900,1000,500,658
931,TRUE,1200,50,"R","M","H",1,"49",646000,239000,0,11,34,30,32,15300,700,300,510
959,TRUE,1000,53,"C","F","H",7,"28",586000,349000,6,24,14,10,27,7300,1500,500,730
968,FALSE,NA,39,"S","F","H",6,"21",378000,233000,5,18,23,7,23,6300,2000,500,900
970,FALSE,NA,NA,"R","F","U",1,"45",529000,163000,0,16,22,18,30,9100,600,500,506
971,TRUE,800,57,"T","F","H",6,"39",695000,222000,6,4,35,20,27,15000,1300,500,750
985,FALSE,NA,82,"S","F","H",5,"12",1001000,584000,6,18,21,10,23,11000,1500,500,1100
987,TRUE,300,54,"S","F","H",7,"14",2140000,773000,19,7,40,21,31,7900,700,200,376
1006,TRUE,2100,66,"R","F","H",5,"46",385000,207000,20,6,42,35,44,53000,2600,300,1514
1007,FALSE,NA,66,"R","F","H",5,"51",266000,142000,0,17,31,46,45,27600,1000,300,600
1012,TRUE,1500,75,"T","M","H",5,"35",1133000,430000,1,5,39,28,45,34200,2000,500,1221
1030,FALSE,NA,39,"R","F","N",2,"49",459000,315000,0,20,15,50,33,26900,1200,200,538
1034,TRUE,1200,NA,"C","M","H",4,"23",1416000,255000,16,18,36,22,35,27100,1700,300,1232
1042,TRUE,800,NA,"T","M","H",5,"34",826000,314000,10,15,15,16,25,14700,1500,300,919
1048,FALSE,NA,50,"R","M","H",5,"42",585000,250000,4,18,22,29,35,20200,2200,300,697
1054,TRUE,800,NA,"T","F","U",NA,"38",1161000,197000,0,19,17,20,30,12600,1000,300,630
1064,TRUE,500,69,"S","M","U",NA,"14",1437000,583000,0,7,41,25,41,23400,1200,500,936
1068,TRUE,500,66,"S","F","H",6,"14",3528000,814000,0,18,24,43,34,26500,1000,300,616
1074,FALSE,NA,50,"R","F","U",6,"44",780000,333000,1,26,22,7,24,8100,1500,500,1157
1085,FALSE,NA,63,"R","F","H",4,"44",714000,437000,25,12,21,26,34,28400,2500,500,1092
1092,TRUE,1500,69,"U","M","H",6,"3",5817000,931000,0,6,37,32,34,31500,2000,100,984
1101,TRUE,2000,55,"R","F","H",4,"43",483000,198000,0,9,38,24,37,27800,2000,300,1158
1102,TRUE,1100,86,"?","M","U",4,".",882000,380000,0,5,40,33,40,37400,1600,400,1133
1154,FALSE,NA,78,"U","U","U",NA,"8",1131000,403000,0,24,14,3,10,3500,2000,500,1167
1196,FALSE,NA,32,"U","M","U",1,"1",1348000,613000,3,16,33,20,33,8200,900,200,410
1198,FALSE,NA,56,"S","M","H",7,"12",2491000,498000,1,5,24,5,15,6500,1500,1000,1300
1245,FALSE,NA,79,"S","F","N",2,"16",728000,330000,0,9,35,13,36,16500,2000,500,1269
1249,TRUE,3200,NA,"S","M","U",NA,"20",1435000,423000,0,7,34,13,35,12200,2000,300,938
1254,TRUE,3000,49,"S","M","H",5,"14",1102000,613000,0,26,15,3,14,7500,2500,2500,2500
1258,FALSE,NA,63,"U","M","U",2,"6",876000,473000,1,18,19,11,27,9900,2100,500,900
1264,FALSE,NA,71,"C","M","H",2,"28",689000,288000,11,23,11,2,9,2000,1500,500,1000
1280,FALSE,NA,71,"R","M","H",7,"42",1881000,426000,18,18,21,13,34,28200,3500,500,2169
1287,FALSE,NA,NA,"S","M","U",NA,"11",0,0,0,18,37,6,25,15500,3000,2000,2583
1292,TRUE,1500,47,"C","M","H",5,"29",692000,203000,0,18,21,5,15,3800,1500,500,760
1293,TRUE,200,75,"S","F","N",2,"18",917000,462000,10,20,19,14,27,7400,1000,300,529
1298,FALSE,NA,80,"T","M","H",4,"38",2459000,309000,0,18,41,22,38,31100,3000,500,1414
1304,FALSE,NA,85,"R","F","U",1,"53",1259000,263000,0,19,32,26,46,19300,1100,200,742
1322,TRUE,1400,54,"U","F","N",3,"5",376000,397000,2,7,36,14,36,17400,1500,1000,1243
1325,FALSE,NA,59,"S","M","H",3,"20",1027000,331000,0,5,32,9,33,21000,3000,500,2333
1329,FALSE,NA,65,"?","M","U",6,".",745000,259000,0,17,23,4,13,4500,1600,500,1125
1334,FALSE,NA,NA,"C","M","U",NA,"24",1138000,537000,0,25,18,3,17,12000,4000,4000,4000
1348,FALSE,NA,NA,"U","U","U",NA,"1",2750000,599000,0,15,24,8,21,7700,1100,500,963
1350,FALSE,NA,NA,"T","M","H",5,"35",901000,441000,7,18,21,8,27,11200,3300,300,1400
1357,TRUE,1500,40,"S","F","H",5,"17",889000,328000,0,15,40,21,41,22400,2700,500,1067
1368,FALSE,NA,71,"R","F","N",2,"43",1721000,618000,0,9,31,23,33,25900,2000,500,1126
1371,TRUE,3500,75,"S","F","U",NA,"13",2753000,504000,0,19,20,5,20,10000,2000,2000,2000
1396,FALSE,NA,49,"S","M","N",1,"17",730000,247000,0,17,22,24,34,35200,2000,500,1467
1397,FALSE,NA,51,"S","M","H",4,"12",1024000,475000,5,17,35,10,32,10400,1500,500,1040
1400,FALSE,NA,NA,"S","M","H",7,"11",1805000,759000,18,24,23,29,36,15700,1700,200,541
1414,FALSE,NA,69,"T","M","H",5,"39",465000,314000,0,9,26,7,21,11900,2500,1000,1700
1419,FALSE,NA,72,"R","M","H",2,"51",466000,266000,0,26,18,8,27,10500,2000,500,1313
1431,FALSE,NA,76,"R","M","H",2,"49",412000,297000,0,15,32,17,27,13500,1900,300,794
1434,FALSE,NA,33,"S","F","U",2,"20",928000,387000,0,25,34,19,33,28200,2000,1000,1484
1442,TRUE,2400,38,"C","F","H",5,"24",1602000,459000,4,6,43,19,26,35000,2500,1000,1842
1468,FALSE,NA,NA,"U","F","U",NA,"8",1395000,190000,0,18,35,16,26,9800,1100,500,613
1477,FALSE,NA,NA,"?","M","U",5,".",1287000,418000,0,17,24,8,24,10600,1600,1000,1325
1480,FALSE,NA,NA,"U","F","U",1,"9",1507000,421000,23,7,29,10,28,33000,3500,3000,3300
1485,FALSE,NA,47,"C","F","N",3,"24",1930000,466000,0,17,20,7,25,7846,2300,500,1121
1493,FALSE,NA,49,"S","M","H",6,"11",1904000,568000,9,15,28,23,40,17000,1100,300,739
1495,FALSE,NA,49,"S","F","H",5,"13",5856000,976000,51,18,23,10,37,59500,10000,2500,5950
1499,FALSE,NA,61,"S","M","U",NA,"14",2132000,632000,0,15,40,19,27,33000,2500,500,1737
1502,FALSE,NA,51,"S","F","H",7,"14",1765000,542000,0,18,16,4,16,4700,1500,1000,1175
1505,FALSE,NA,NA,"R","M","U",NA,"44",856000,176000,0,19,36,8,26,10300,2000,1000,1288
1544,TRUE,1000,45,"S","F","H",7,"11",3260000,509000,0,18,20,4,17,5200,2000,1000,1300
1548,FALSE,NA,68,"T","M","H",7,"35",1679000,776000,1,26,15,3,11,7500,2500,2500,2500
1549,TRUE,5000,81,"S","M","U",NA,"13",5863000,1500000,0,24,19,3,12,15000,5000,5000,5000
1556,TRUE,2500,49,"C","F","N",1,"25",2167000,346000,0,15,12,4,12,4900,1500,1000,1225
1611,FALSE,NA,78,"C","M","N",1,"31",409000,114000,33,4,31,26,44,22700,2000,200,873
1617,TRUE,1500,75,"S","F","H",4,"13",5970000,1386000,30,6,39,11,24,11200,2000,500,1018
1628,FALSE,NA,55,"?","F","U",1,".",701000,241000,28,15,10,2,9,2000,1500,500,1000
1631,FALSE,NA,45,"U","F","U",3,"7",720000,188000,0,5,39,20,26,30600,2500,500,1530
1635,FALSE,NA,47,"S","M","U",NA,"14",3453000,1103000,0,26,15,8,26,6200,1500,500,775
1646,TRUE,1000,50,"C","M","H",5,"30",675000,163000,29,17,19,16,34,12100,1500,300,756
1652,FALSE,NA,NA,"C","M","U",NA,"27",399000,241000,0,20,22,5,22,11200,2700,1500,2240
1656,FALSE,NA,NA,"R","F","U",2,"45",473000,265000,14,18,36,24,45,16200,1200,100,675
1673,TRUE,4000,67,"T","F","H",5,"35",1033000,427000,4,21,33,32,46,31000,1700,200,969
1685,TRUE,2000,67,"R","U","U",NA,"46",1130000,333000,0,22,24,4,17,5600,2600,1000,1400
1703,FALSE,NA,NA,"?","M","U",NA,".",2158000,308000,0,22,20,3,15,4000,2000,1000,1333
1709,FALSE,NA,78,"C","M","H",1,"31",532000,163000,13,17,30,6,18,10500,3000,1000,1750
1722,TRUE,1000,45,"C","M","H",7,"24",1668000,648000,5,5,34,26,37,34800,2000,500,1338
1731,TRUE,1200,79,"S","M","H",5,"13",1982000,786000,23,6,40,11,21,13000,1500,600,1182
1742,FALSE,NA,76,"T","U","N",2,"36",521000,304000,13,19,20,3,15,3500,1500,1000,1167
1748,FALSE,NA,74,"C","M","N",2,"27",406000,260000,1,19,25,3,18,6700,2700,1500,2233
1765,FALSE,NA,NA,"C","M","N",2,"26",2262000,227000,33,18,14,18,25,8400,1000,300,467
1779,TRUE,1250,NA,"T","M","U",NA,"41",417000,131000,0,7,28,8,27,10400,2000,500,1300
1789,FALSE,NA,79,"C","M","U",1,"33",613000,157000,2,17,16,25,26,22500,1000,500,900
1794,FALSE,NA,NA,"?","U","U",1,".",950000,244000,0,17,36,19,41,21400,2000,500,1126
1799,TRUE,1000,NA,"C","M","H",5,"27",860000,358000,7,4,36,21,32,19400,1600,300,924
1808,FALSE,NA,43,"S","F","U",5,"12",1072000,517000,0,23,21,3,15,5000,2000,1000,1667
1818,FALSE,NA,57,"T","F","U",5,"36",757000,247000,0,18,30,11,28,11800,2000,500,1073
1819,FALSE,NA,55,"T","M","H",7,"34",820000,489000,17,18,28,26,33,19600,1200,300,754
1832,FALSE,NA,NA,"?","U","U",NA,".",745000,429000,0,17,37,8,22,18000,3300,1000,2250
1863,FALSE,NA,43,"T","U","H",6,"38",713000,343000,2,16,21,13,25,9600,1500,300,738
1889,FALSE,NA,57,"T","F","H",5,"40",1162000,363000,0,6,39,13,21,11300,1600,400,869
1893,FALSE,NA,82,"U","M","U",NA,"7",1759000,326000,0,16,20,27,36,19800,1000,300,733
1899,TRUE,1250,49,"S","M","H",5,"18",1519000,346000,0,15,19,9,25,9200,1600,500,1022
1902,FALSE,NA,60,"C","F","H",5,"28",629000,262000,1,15,35,8,25,11200,2000,500,1400
1909,FALSE,NA,76,"R","M","U",1,"47",557000,186000,20,16,26,32,34,9700,500,200,303
1913,FALSE,NA,73,"U","M","N",2,"8",595000,305000,18,7,28,7,19,11000,2000,1000,1571
1920,TRUE,1000,81,"U","M","H",4,"9",1032000,305000,1,6,34,31,35,21450,1500,300,692
1925,TRUE,3500,72,"T","M","H",5,"35",3461000,404000,2,23,24,3,17,5500,2500,1500,1833
1927,TRUE,1500,39,"T","F","U",3,"35",1133000,615000,1,19,22,6,25,8000,1500,1000,1333
1928,FALSE,NA,81,"T","F","H",2,"38",1104000,370000,6,22,18,15,21,6800,900,100,453
1959,TRUE,5000,39,"S","F","H",7,"15",2670000,394000,12,15,33,3,14,10500,5000,2500,3500
1962,FALSE,NA,37,"T","F","H",7,"34",2354000,355000,2,21,27,4,18,4700,1500,1000,1175
1968,FALSE,NA,76,"?","M","U",NA,".",2677000,558000,0,17,25,9,31,9500,1500,300,1056
1970,FALSE,NA,NA,"T","F","U",6,"40",680000,408000,0,17,21,16,31,8000,1000,200,500
1973,FALSE,NA,52,"U","F","H",5,"7",3002000,265000,1,10,31,13,28,13200,2500,500,1015
1975,FALSE,NA,61,"R","M","H",4,"46",694000,244000,2,15,31,4,13,4800,1600,1000,1200
1979,FALSE,NA,63,"C","U","H",3,"29",694000,244000,0,15,18,5,15,3600,1000,500,720
1985,FALSE,NA,51,"T","M","H",5,"35",1407000,509000,3,24,23,34,35,34100,1500,400,1003
1986,TRUE,500,75,"U","F","U",NA,"2",1368000,379000,0,6,44,29,45,16100,900,300,555
2018,FALSE,NA,80,"U","F","H",7,"1",5315000,483000,5,16,34,16,33,11800,1200,300,738
2020,TRUE,700,73,"S","F","U",6,"14",3556000,735000,0,11,36,40,42,29400,1200,300,735
2027,FALSE,NA,73,"S","M","H",4,"18",599000,342000,18,16,39,16,34,49200,5000,1500,3075
2052,FALSE,NA,NA,"S","U","U",NA,"14",1213000,591000,0,17,20,7,17,5000,1000,500,714
2058,FALSE,NA,NA,"R","M","H",6,"43",605000,218000,0,16,19,6,13,7500,1500,1000,1250
2063,FALSE,NA,57,"C","U","U",1,"31",543000,222000,12,17,36,7,20,9400,2000,1000,1343
2081,TRUE,700,NA,"?","F","U",3,".",871000,381000,2,4,34,49,36,38400,1200,300,784
2085,TRUE,2000,52,"C","M","H",4,"27",852000,426000,5,7,38,13,31,25100,2800,1000,1931
2087,FALSE,NA,NA,"T","M","U",5,"39",649000,290000,0,15,37,15,23,9400,900,300,627
2097,FALSE,NA,87,"C","M","U",NA,"25",1102000,418000,0,25,26,14,37,17800,2000,500,1271
2113,FALSE,NA,57,"S","F","U",7,"14",828000,318000,0,25,20,20,25,15600,1000,300,780
2151,TRUE,2500,47,"C","M","H",5,"31",1126000,243000,0,18,36,40,36,83200,3500,500,2080
2153,TRUE,800,73,"S","M","H",2,"18",839000,363000,0,8,36,31,39,23400,1400,300,755
2154,TRUE,1500,77,"R","M","N",2,"46",655000,258000,1,17,36,15,33,29100,4000,1000,1940
2159,TRUE,900,78,"R","F","N",3,"49",198000,193000,0,5,38,15,34,13900,1700,300,927
2162,FALSE,NA,NA,"T","U","U",2,"36",463000,253000,2,19,28,13,28,12600,1500,500,969
2166,FALSE,NA,43,"R","F","H",4,"47",475000,241000,0,18,31,17,32,13300,1100,300,782
2168,FALSE,NA,45,"S","F","U",3,"12",1566000,538000,2,18,35,11,23,10100,1200,500,918
2170,TRUE,700,67,"T","F","H",3,"38",923000,299000,0,11,40,28,35,21300,1200,300,761
2194,TRUE,400,37,"?","M","H",7,".",1006000,282000,0,12,30,15,25,6100,600,300,407
2211,FALSE,NA,NA,"R","U","U",NA,"46",492000,244000,0,6,33,3,12,6300,2300,2000,2100
2231,TRUE,1400,24,"T","M","H",3,"36",564000,217000,38,11,29,10,18,11400,1700,300,1140
2233,FALSE,NA,79,"R","F","H",2,"46",572000,224000,0,7,26,13,21,6800,700,300,523
2235,TRUE,1200,65,"C","M","H",6,"29",878000,285000,0,6,37,17,29,17800,2500,250,1047
2238,FALSE,NA,67,"R","M","U",1,"44",970000,274000,1,15,35,16,35,14400,1500,300,900
2242,FALSE,NA,NA,"R","F","H",4,"42",863000,373000,0,20,34,3,15,5500,3000,1000,1833
2244,FALSE,NA,53,"S","F","H",5,"17",843000,290000,10,6,38,9,25,16000,2500,1000,1778
2252,FALSE,NA,NA,"S","M","U",NA,"15",758000,366000,0,13,36,10,19,7300,1300,100,730
2262,TRUE,1250,57,"U","F","H",5,"2",1778000,411000,2,12,32,36,37,23500,1100,300,653
2289,FALSE,NA,59,"T","F","H",3,"39",507000,260000,2,11,29,20,28,13400,1100,300,670
2291,FALSE,NA,NA,"T","M","U",3,"41",447000,209000,0,11,21,28,23,11700,800,200,418
2298,FALSE,NA,NA,"C","F","N",2,"33",589000,256000,6,21,24,10,26,9200,1500,500,920
2311,TRUE,500,NA,"?","M","U",NA,".",817000,488000,0,7,37,15,27,8000,1000,300,533
2314,FALSE,NA,80,"U","F","U",NA,"3",3500000,332000,0,13,36,23,29,20400,2500,300,887
2315,TRUE,1100,NA,"R","F","U",NA,"45",257000,251000,0,5,24,14,18,18100,2500,300,1293
2320,TRUE,600,16,"S","F","H",1,"20",634000,336000,13,16,32,31,31,11900,1000,100,384
2321,TRUE,2500,66,"S","M","U",NA,"18",2170000,412000,0,9,36,15,35,58000,7500,2000,3867
2334,FALSE,NA,51,"T","F","H",3,"39",591000,280000,1,9,38,17,32,19800,1600,500,1165
2339,FALSE,NA,37,"C","U","U",1,"27",976000,479000,0,15,30,26,36,10300,1000,200,396
2340,FALSE,NA,84,"C","F","U",2,"26",75000,224000,0,21,33,5,21,7100,1600,1000,1420
2365,TRUE,900,43,"T","M","U",5,"35",1408000,611000,5,12,37,14,23,6400,1000,200,457
